Date,AAPL,JNJ,JPM,XOM,AMZN,KO,NVDA,PG,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2018-05-23,44.42145538330078,99.36475372314453,90.89942169189453,57.754547119140625,80.09300231933594,33.337196350097656,6.127525329589844,60.603553771972656,0.29,-0.06,-0.69,0.0,-0.33,0.01,0.4
2018-05-24,44.37192916870117,98.39888763427734,89.8812484741211,56.432823181152344,80.15350341796875,33.2743034362793,6.13123893737793,60.268585205078125,-0.16,0.34,-0.35,0.5,0.09,0.01,0.13
2018-05-25,44.47334671020508,98.49618530273438,89.42063903808594,55.336082458496094,80.50749969482422,33.337196350097656,6.170596599578857,60.70975875854492,-0.22,0.24,-0.39,0.59,-0.53,0.01,-0.6
2018-05-29,44.31298065185547,96.81768798828125,85.59851837158203,55.1322135925293,80.64350128173828,33.55735397338867,6.15351676940918,60.49734115600586,-1.03,1.11,-1.02,0.17,-0.02,0.01,-0.09
2018-05-30,44.21863555908203,98.09075164794922,87.55401611328125,57.29757308959961,81.24449920654297,33.911170959472656,6.26243257522583,61.183589935302734,1.31,0.03,0.36,-0.74,0.19,0.01,0.27
2018-05-31,44.070064544677734,96.9960708618164,86.47119140625,57.114768981933594,81.48100280761719,33.8089599609375,6.242631435394287,59.77840042114258,-0.7,0.05,-0.43,-0.5,-0.17,0.01,0.42
2018-06-01,44.86481857299805,98.3259048461914,87.59442138671875,57.529579162597656,82.0770034790039,33.903297424316406,6.377042293548584,60.00715255737305,1.06,-0.21,-0.1,-0.07,-0.2,0.01,0.59
2018-06-04,45.239803314208984,98.88540649414062,87.63483428955078,56.92497634887695,83.26349639892578,34.1942253112793,6.556011199951172,60.603553771972656,0.48,0.17,-0.45,1.08,-0.32,0.01,0.13
2018-06-05,45.588829040527344,98.5042953491211,87.14191436767578,56.721073150634766,84.81749725341797,33.895450592041016,6.561458110809326,60.43197250366211,0.16,0.78,-0.44,0.2,0.08,0.01,0.35
2018-06-06,45.746829986572266,99.5665283203125,89.17823791503906,57.69127655029297,84.7874984741211,34.17063903808594,6.56343936920166,60.7424430847168,0.86,-0.27,0.21,0.01,0.16,0.01,0.02
2018-06-07,45.62421798706055,100.00438690185547,89.5337905883789,58.26775360107422,84.46499633789062,34.15491485595703,6.507741451263428,61.894386291503906,-0.14,-0.25,0.93,0.17,0.62,0.01,-0.9
2018-06-08,45.209144592285156,100.5963363647461,89.78428649902344,58.7739372253418,84.19950103759766,34.55588912963867,6.492395401000977,63.054481506347656,0.31,0.04,-0.4,0.24,-0.2,0.01,-0.1
2018-06-11,45.09829330444336,99.46112060546875,89.55802154541016,58.42243576049805,84.45600128173828,34.69742202758789,6.451303482055664,63.340415954589844,0.12,0.15,-0.16,0.22,0.23,0.01,-0.64
2018-06-12,45.345924377441406,99.36382293701172,89.04087829589844,57.944358825683594,84.9375,34.917572021484375,6.499820232391357,63.10352325439453,0.23,0.19,-0.63,0.1,-0.17,0.01,0.12
2018-06-13,44.973297119140625,99.43679809570312,88.86309051513672,57.304603576660156,85.24299621582031,34.73674011230469,6.495364665985107,62.47443389892578,-0.33,0.02,-0.2,-0.58,-0.18,0.01,0.23
2018-06-14,44.99689865112305,99.2583999633789,87.2954330444336,57.57173538208008,86.19300079345703,34.570159912109375,6.607003688812256,62.08228302001953,0.28,0.2,-1.01,-0.02,-0.61,0.01,-0.2
2018-06-15,44.5346565246582,99.42058563232422,87.19039916992188,56.70701217651367,85.79850006103516,34.99851608276367,6.566159725189209,63.2178955078125,-0.07,0.11,-0.25,0.69,-0.16,0.01,-0.9
2018-06-18,44.51107406616211,98.37456512451172,87.41663360595703,56.81951141357422,86.18949890136719,34.54634475708008,6.561953067779541,61.9597282409668,-0.09,0.74,0.08,-0.44,0.04,0.01,0.78
2018-06-19,43.791786193847656,99.38811492919922,86.90755462646484,56.73512649536133,86.73899841308594,34.586021423339844,6.440164089202881,62.36005783081055,-0.38,0.52,-0.14,-0.24,-0.37,0.01,-0.67
2018-06-20,43.98280715942383,98.95838928222656,86.89948272705078,56.55937957763672,87.50399780273438,34.31631088256836,6.493137836456299,61.967899322509766,0.23,0.65,-0.51,-0.17,0.09,0.01,0.31
2018-06-21,43.73755645751953,98.4799575805664,86.875244140625,56.02507400512695,86.51100158691406,34.181453704833984,6.364419460296631,62.449920654296875,-0.73,-0.56,0.33,0.5,0.09,0.01,-0.32
2018-06-22,43.61019515991211,99.60706329345703,85.4530258178711,57.213199615478516,85.78350067138672,34.30838394165039,6.211936950683594,63.25872802734375,0.11,-0.07,0.46,-0.52,0.91,0.01,-0.64
